Shoe_Link,Shoe_Brand,Shoe_Name,Shoe_Price,Shoe_Color
https://www.backcountry.com/tenaya-arai-climbing-shoe,Tenaya,Arai Climbing Shoe,124.95,Blue/Black
https://www.backcountry.com/red-chili-fusion-climbing-shoe,Red Chili,Fusion Climbing Shoe,154.95,Oasis
https://www.backcountry.com/black-diamond-shadow-climbing-shoe,Black Diamond,Shadow Climbing Shoe,189.95,Black
https://www.backcountry.com/red-chili-magnet-climbing-shoe,Red Chili,Magnet Climbing Shoe,154.95,Dark Blue
https://www.backcountry.com/butora-endeavor-climbing-shoe-tight-fit-womens,Butora,Endeavor Tight Fit Climbing Shoe - Women's,114.95,Lavender
https://www.backcountry.com/scarpa-reflex-v-climbing-shoe-womens,Scarpa,Reflex V Climbing Shoe - Women's,118.95,Black/Ceramic
https://www.backcountry.com/black-diamond-method-climbing-shoe-womens,Black Diamond,Method Climbing Shoe - Women's,154.95,Patina
https://www.backcountry.com/scarpa-force-x-climbing-shoe-vibram-xs-edge-womens,Scarpa,Force V Climbing Shoe - Women's,168.95,Ice Fall/Mandarin Red
https://www.backcountry.com/tenaya-oasi-climbing-shoe-mens,Tenaya,Oasi Climbing Shoe,184.95,White/Blue
https://www.backcountry.com/tenaya-ra-climbing-shoe-mens,Tenaya,RA Climbing Shoe,154.95,White/Orange
https://www.backcountry.com/butora-mantra-climbing-shoe-wide-fit,Butora,Mantra Wide Fit Climbing Shoe,159.99,Green
https://www.backcountry.com/la-sportiva-skwama-vegan-climbing-shoe-mens,La Sportiva,Skwama Vegan Climbing Shoe,199.00,Black/Flash Green
https://www.backcountry.com/la-sportiva-miura-vs-vibram-xs-grip2-climbing-shoe-womens,La Sportiva,Miura VS Vibram XS Grip2 Climbing Shoe - Women's,199.00,Blue
https://www.backcountry.com/black-diamond-aspect-climbing-shoe,Black Diamond,Aspect Climbing Shoe,159.95,Aluminum
https://www.backcountry.com/evolv-phantom-climbing-shoe,Evolv,Phantom Climbing Shoe,205.00,Black/White
https://www.backcountry.com/scarpa-instinct-vsr-climbing-shoe,Scarpa,Instinct VSR Climbing Shoe,208.95,Black/Azure
